WatchedDate,Title,Directors,Year,Rating
07/08/1998, Out of Sight, Steven Soderbergh, 1998, 75
07/09/1998, Edge of Eternity, Don Siegel, 1959, 43
07/11/1998, Mr. Jealousy, Noah Baumbach, 1997, 54
07/12/1998, Lawn Dogs, Jon Duigan, 1997, 48
07/16/1998, The Shadow, Part 8: The Shadow Rides the Rails, James W. Horne, 1940, 35
07/16/1998, Key Largo, John Huston, 1948, 71
07/17/1998, West Side Story, Robert Wise & Jerome Robbins, 1961, 64
07/17/1998, Workers Leaving The Lumière Factory in Lyon [I], Louis Lumière, 1895, 67
07/17/1998, Workers Leaving The Lumière Factory in Lyon [II], Louis Lumière, 1896, 67
07/17/1998, Workers Leaving The Lumière Factory in Lyon [III], Louis Lumière, 1896, 67
07/17/1998, The Photographical Congress Arrives in Lyon, Louis Lumière, 1895, 53
07/17/1998, Baby's Dinner, Louis Lumière, 1895, 65
07/17/1998, The Sprinkler Sprinkled, Louis Lumière, 1895, 68
07/17/1998, Card Game, Louis Lumière, 1896, 59
07/17/1998, Arrival of a Train at La Ciotat, Louis Lumière, 1897, 72
07/17/1998, Demolition of a Wall [II], Louis Lumière, 1896, 68
07/17/1998, Lyon: La Place du Pont, Louis Lumière, 1900, 66
07/17/1998, Cordeliers' Square in Lyon, [Lumière], 1895, 67
07/17/1998, Arrival by Train in Perrache, Louis Lumière, 1896, 67
07/17/1998, Arrival of a Train in Perrache, Louis Lumière, 1896, 64
07/17/1998, Game of Balls, Louis Lumière, 1896, 57
07/17/1998, Lyon: Quai de l'Archevêché, Louis Lumière, 1896, 60
07/17/1998, Baby's First Steps, Louis Lumière, 1896, 69
07/17/1998, The Little Girl and Her Cat, Louis Lumière, 1900, 66
07/17/1998, The Babies' Snack, Louis Lumière, 1897, 60
07/17/1998, Procession of Baby Carriages at the Paris Nursery, Louis Lumière, 1899, 65
07/17/1998, Pillow Fight [II], Louis Lumière, 1898, 69
07/17/1998, Children Playing Marbles, Louis Lumière, 1896, 68
07/17/1998, Bicyclist, Louis Lumière, 1896, 66
07/17/1998, Festival of Paris, 1899: Parade of Flowered Cars, Louis Lumière, 1899, 64
07/17/1998, Universal Exhibition, 1900: View of a Moving Sidewalk [II], Louis Lumière, 1900, 61
07/17/1998, Water Toboggan, Louis Lumière, 1896, 60
07/17/1998, Acrobatic Horseman, Louis Lumière, 1896, 60
07/17/1998, Blanket Toss, Louis Lumière, 1896, 59
07/17/1998, Game of Balls, Louis Lumière, 1896, 54
07/17/1998, Football, Alexandre Promio, 1897, 65
07/17/1998, The Sack Race, Louis Lumière, 1896, 66
07/17/1998, Boat Leaving the Port, Louis Lumière, 1897, 68
07/17/1998, Alpine Hunters: Boxing Lesson, Louis Lumière, 1897, 63
07/17/1998, The Kremos: Somersaults, Louis Lumière, 1899, 63
07/17/1998, The Kremos: Pyramid, Louis Lumière, 1899, 63
07/17/1998, Foremen at La Ciotat, Louis Lumière, 1896, 61
07/17/1998, Paving Machine on the Jonage Canal, Louis Lumière, 1897, 62
07/17/1998, Harvesters, Louis Lumière, 1897, 70
07/17/1998, Collecting the Ship's Laundry, Alexandre Promio, 1898, 65
07/17/1998, Carmaux: Cooling the Coke, Louis Lumière, 1896, 68
07/17/1998, Washerwomen on the River, Louis Lumière, 1897, 70
07/17/1998, Mont Blanc: The Alps, Louis Lumière, 1900, 50
07/17/1998, Hitched to a Truck, Louis Lumière, 1897, 52
07/17/1998, Champs-Élysées, Louis Lumière, 1896, 66
07/17/1998, Venice: View of the Grand Canal from a Boat, Alexandre Promio, 1896, 65
07/17/1998, London: Arrival of the Cinématographe, Charles Moisson, 1896, 59
07/17/1998, Dublin: Fire Engine, Alexandre Promio, 1897, 57
07/17/1998, Belfast: Practice Rescue, Alexandre Promio, 1897, 60
07/17/1998, Berlin: Panoptikum Theatre, Louis Lumière, 1896, 57
07/17/1998, Spain: Flamenco Dance, Louis Lumière, 1900, 51
07/17/1998, Spain: Encampment Dance, Alexandre Promio, 1896, 56
07/17/1998, New York: Arrival of a Train at Battery Place, Alexandre Promio, 1896, 61
07/17/1998, Brooklyn: Fulton Street, Alexandre Promio, 1896, 65
07/17/1998, New York: Whitehall Street, Alexandre Promio, 1896, 61
07/17/1998, Chicago: Parade of Policemen, Alexandre Promio, 1896, 62
07/17/1998, Mexico: Bathing the Horses, Gabriel Veyre, 1896, 65
07/17/1998, Moscow: Rue Tverskaïa, Charles Moisson, 1896, 67
07/17/1998, Jerusalem: Port of Jaffe East Coast, Alexandre Promio, 1897, 62
07/17/1998, Egypt: The Pyramids, Alexandre Promio, 1897, 67
07/17/1998, Algeria: The Muezzin's Prayer, Alexandre Promio, 1896, 56
07/17/1998, Constantinople: Turkish Artillery, Alexandre Promio, 1897, 60
07/17/1998, Constantinople: View of the Corne d'Or, Alexandre Promio, 1896, 60
07/17/1998, Indochina: Loading a Cow on a Ship, Gabriel Veyre, 1900, 55
07/17/1998, Indochina: Opium Den, Gabriel Veyre, 1900, 70
07/17/1998, Indochina: Children Gathering Rice Scattered by Western Women, Gabriel Veyre, 1900, 70
07/18/1998, Japan: Japanese Swordfighters, Constant Girel, 1897, 63
07/18/1998, African Knife Dance, Louis Lumière, 1897, 64
07/18/1998, Footit and Chocolate: Tipping Chair, Louis Lumière, 1900, 54
07/18/1998, Mechanical Butcher Shop, Louis Lumière, 1896, 63
07/18/1998, Grotesque Rollerskater, Marius Sestier, 1896, 64
07/18/1998, Mattress-makers' Quarrel, [Lumière], 1898, 60
07/18/1998, The Nanny and the Soldier, [Lumière], 1897, 58
07/18/1998, Music-loving Sawyer, [Lumière], 1898, 58
07/18/1998, Automobile Accident, Louis Lumière, 1904, 59
07/18/1998, The Lover in the Bag, Louis Lumière, 1898, 67
07/18/1998, View From a Whaling Boat, Gabriel Veyre, 1900, 67
07/18/1998, Snowball Fight, Louis Lumière, 1897, 71
07/18/1998, Oil Wells of Bakou: Close View, Louis Lumière, 1898, 68
07/18/1998, Launching of a Ship, Louis Lumière, 1896, 64
07/18/1998, Indochina: Panorama Taken from a Rickshaw, Gabriel Veyre, 1900, 74
07/18/1998, Serpentine Dance, Louis Lumière, 1898, 58
07/18/1998, The Joyous Skeleton, Louis Lumière, 1898, 68
07/18/1998, Billboard Posters, Alexandre Promio, 1897, 55
07/18/1998, Writing Backwards, Louis Lumière, 1896, 64
07/18/1998, The Kiss, William Heise, 1896, 68
07/18/1998, Annabelle Serpentine Dance, Dickson, William Heise, 1895, 49
07/18/1998, Sandow No. 1, W.K.L Dickson, 1894, 58
07/18/1998, Glenroy Brothers (Comic Boxing), Thomas Edison, 1894, 59
07/18/1998, The Cock Fight, W.K.L. Dickson, 1894, 57
07/18/1998, The Barbershop, W.K.L. Dickson, Heise, 1894, 59
07/18/1998, Feeding the Doves, James H. White, 1896, 48
07/18/1998, Seminary Girls, James H. White, 1897, 53
07/18/1998, Sea Bathing, Louis Lumière, 1897, 68
07/18/1998, Children Digging for Clams, Louis Lumière, 1896, 68
07/18/1998, Loading a Boiler, Louis Lumière, 1896, 58
07/18/1998, Dragoons Crossing the Saone, Louis Lumière, 1896, 67
07/18/1998, Prominade of Ostriches, Louis Lumière, 1896, 63
07/18/1998, Childish Quarrel, Louis Lumière, 1896, 61
07/18/1998, Lion London Zoological Garden, Louis Lumière, 1896, 55
07/18/1998, Photograph, Louis Lumière, 1895, 56
07/18/1998, Transformation by Hats, Louis Lumière, 1896, 62
07/18/1998, Carmaux: Drawing Out the Coke, Louis Lumière, 1896, 68
07/18/1998, Poultry Yard, Louis Lumière, 1896, 55
07/18/1998, Arab Procession, Alexandre Promio, 1896, 63
07/18/1998, New York: Brooklyn Bridge, Alexandre Promio, 1896, 66
07/18/1998, New York: Broadway at Union Square, Alexandre Promio, 1896, 66
07/18/1998, Chicago: Parade of Policemen, Alexandre Promio, 1896, 62
07/18/1998, A Trip to the Moon, Georges Méliès, 1902, 72
07/18/1998, McKinley at Home, Canton, OH, American Mutoscope, 1896, 45
07/18/1998, Burro Pack Train on the Chilcoot Pass, Thomas Crahan, 1901, 53
07/18/1998, Skyscrapers of New York City From the North River, J.B. Smith, 1903, 44
07/18/1998, The Georgetown Loop, G.W. Bitzer, 1901, 49
07/18/1998, Earthquake Ruins, New Majestic Theatre and City Hall, [Edison Manufacturing Company], 1906, 50
07/18/1998, The Dog and His Various Merits, [Pathé Frères], 1908, 46
07/18/1998, Moscow Clad in Snow, [Pathé Frères], 1909, 45
