WatchedDate,Title,Directors,Year,FsmcRating,Rating,
1998-06-20, Clockwatchers, Jill Sprecher, 1997, 64
1998-06-20, Decalogue Five, Krysztof Kieslowski, 1988, 89
1998-06-21, Mulan, Tony Bancroft & Barry Cook, 1998, 56
1998-06-21, The X Files, Rob Bowman, 1998, 42
1998-06-26, The Exorcist, William Friedkin, 1973, 56
1998-06-27, Cousin Bette, Des McAnuff, 1998, 50
1998-06-27, Wilde, Brian Gilbert, 1997, 48
1998-06-28, Hav Plenty, Christopher Scott Cherot, 1997, 50
1998-06-28, Down Among the Sugar Cane, Dave Fleischer, 1932, 67
1998-06-28, Breakfast at Tiffany's, Blake Edwards, 1961, 77
1998-06-29, Les Misérables, Billie August, 1998, 61
1998-06-29, The Public Enemy, William Wellman, 1931, 71
1998-06-30, The Maltese Falcon, John Huston, 1941, 85
1998-07-02, Post Coitum, Brigitte Roüan, 1997, 61
1998-07-03, High Art, Lisa Cholodenko, 1998, 67
1998-07-03, In Cold Blood, Richard Brooks, 1967, 65
1998-07-04, I Went Down, Paddy Breathnach, 1997, 61
1998-07-05, Enter the Dragon, Robert Clouse, 1973, 54
1998-07-05, The Opposite of Sex, Don Roos, 1998, 55
1998-07-06, The 400 Blows, François Truffaut, 1959, 92
1998-07-06, Jules and Jim, François Truffaut, 1961, 96
1998-07-07, There's Something About Mary, Bobby & Peter Farrelly, 1998, 62
1998-07-08, Out of Sight, Steven Soderbergh, 1998, 75
1998-07-09, Edge of Eternity, Don Siegel, 1959, 43
1998-07-11, Mr. Jealousy, Noah Baumbach, 1997, 54
1998-07-12, Lawn Dogs, Jon Duigan, 1997, 48
1998-07-16, The Shadow, Part 8: The Shadow Rides the Rails, James W. Horne, 1940, 35
1998-07-16, Key Largo, John Huston, 1948, 71
1998-07-17, West Side Story, Robert Wise & Jerome Robbins, 1961, 64
1998-07-17, Workers Leaving The Lumière Factory in Lyon [I], Louis Lumière, 1895, 67
1998-07-17, Workers Leaving The Lumière Factory in Lyon [II], Louis Lumière, 1896, 67
1998-07-17, Workers Leaving The Lumière Factory in Lyon [III], Louis Lumière, 1896, 67
1998-07-17, The Photographical Congress Arrives in Lyon, Louis Lumière, 1895, 53
1998-07-17, Baby's Dinner, Louis Lumière, 1895, 65
1998-07-17, The Sprinkler Sprinkled, Louis Lumière, 1895, 68
1998-07-17, Card Game, Louis Lumière, 1896, 59
1998-07-17, Arrival of a Train at La Ciotat, Louis Lumière, 1897, 72
1998-07-17, Demolition of a Wall [II], Louis Lumière, 1896, 68
1998-07-17, Lyon: La Place du Pont, Louis Lumière, 1900, 66
1998-07-17, Cordeliers' Square in Lyon, [Lumière], 1895, 67
1998-07-17, Arrival by Train in Perrache, Louis Lumière, 1896, 67
1998-07-17, Arrival of a Train in Perrache, Louis Lumière, 1896, 64
1998-07-17, Game of Balls, Louis Lumière, 1896, 57
1998-07-17, Lyon: Quai de l'Archevêché, Louis Lumière, 1896, 60
1998-07-17, Baby's First Steps, Louis Lumière, 1896, 69
1998-07-17, The Little Girl and Her Cat, Louis Lumière, 1900, 66
1998-07-17, The Babies' Snack, Louis Lumière, 1897, 60
1998-07-17, Procession of Baby Carriages at the Paris Nursery, Louis Lumière, 1899, 65
1998-07-17, Pillow Fight [II], Louis Lumière, 1898, 69
1998-07-17, Children Playing Marbles, Louis Lumière, 1896, 68
1998-07-17, Bicyclist, Louis Lumière, 1896, 66
1998-07-17, Festival of Paris, 1899: Parade of Flowered Cars, Louis Lumière, 1899, 64
1998-07-17, Universal Exhibition, 1900: View of a Moving Sidewalk [II], Louis Lumière, 1900, 61
1998-07-17, Water Toboggan, Louis Lumière, 1896, 60
1998-07-17, Acrobatic Horseman, Louis Lumière, 1896, 60
1998-07-17, Blanket Toss, Louis Lumière, 1896, 59
1998-07-17, Game of Balls, Louis Lumière, 1896, 54
1998-07-17, Football, Alexandre Promio, 1897, 65
1998-07-17, The Sack Race, Louis Lumière, 1896, 66
1998-07-17, Boat Leaving the Port, Louis Lumière, 1897, 68
1998-07-17, Alpine Hunters: Boxing Lesson, Louis Lumière, 1897, 63
1998-07-17, The Kremos: Somersaults, Louis Lumière, 1899, 63
1998-07-17, The Kremos: Pyramid, Louis Lumière, 1899, 63
1998-07-17, Foremen at La Ciotat, Louis Lumière, 1896, 61
1998-07-17, Paving Machine on the Jonage Canal, Louis Lumière, 1897, 62
1998-07-17, Harvesters, Louis Lumière, 1897, 70
1998-07-17, Collecting the Ship's Laundry, Alexandre Promio, 1898, 65
1998-07-17, Carmaux: Cooling the Coke, Louis Lumière, 1896, 68
1998-07-17, Washerwomen on the River, Louis Lumière, 1897, 70
1998-07-17, Mont Blanc: The Alps, Louis Lumière, 1900, 50
1998-07-17, Hitched to a Truck, Louis Lumière, 1897, 52
1998-07-17, Champs-Élysées, Louis Lumière, 1896, 66
1998-07-17, Venice: View of the Grand Canal from a Boat, Alexandre Promio, 1896, 65
1998-07-17, London: Arrival of the Cinématographe, Charles Moisson, 1896, 59
1998-07-17, Dublin: Fire Engine, Alexandre Promio, 1897, 57
1998-07-17, Belfast: Practice Rescue, Alexandre Promio, 1897, 60
1998-07-17, Berlin: Panoptikum Theatre, Louis Lumière, 1896, 57
1998-07-17, Spain: Flamenco Dance, Louis Lumière, 1900, 51
1998-07-17, Spain: Encampment Dance, Alexandre Promio, 1896, 56
1998-07-17, New York: Arrival of a Train at Battery Place, Alexandre Promio, 1896, 61
1998-07-17, Brooklyn: Fulton Street, Alexandre Promio, 1896, 65
1998-07-17, New York: Whitehall Street, Alexandre Promio, 1896, 61
1998-07-17, Chicago: Parade of Policemen, Alexandre Promio, 1896, 62
1998-07-17, Mexico: Bathing the Horses, Gabriel Veyre, 1896, 65
1998-07-17, Moscow: Rue Tverskaïa, Charles Moisson, 1896, 67
1998-07-17, Jerusalem: Port of Jaffe East Coast, Alexandre Promio, 1897, 62
1998-07-17, Egypt: The Pyramids, Alexandre Promio, 1897, 67
1998-07-17, Algeria: The Muezzin's Prayer, Alexandre Promio, 1896, 56
1998-07-17, Constantinople: Turkish Artillery, Alexandre Promio, 1897, 60
1998-07-17, Constantinople: View of the Corne d'Or, Alexandre Promio, 1896, 60
1998-07-17, Indochina: Loading a Cow on a Ship, Gabriel Veyre, 1900, 55
1998-07-17, Indochina: Opium Den, Gabriel Veyre, 1900, 70
1998-07-17, Indochina: Children Gathering Rice Scattered by Western Women, Gabriel Veyre, 1900, 70
1998-07-18, Japan: Japanese Swordfighters, Constant Girel, 1897, 63
1998-07-18, African Knife Dance, Louis Lumière, 1897, 64
1998-07-18, Footit and Chocolate: Tipping Chair, Louis Lumière, 1900, 54
1998-07-18, Mechanical Butcher Shop, Louis Lumière, 1896, 63
1998-07-18, Grotesque Rollerskater, Marius Sestier, 1896, 64
1998-07-18, Mattress-makers' Quarrel, [Lumière], 1898, 60
1998-07-18, The Nanny and the Soldier, [Lumière], 1897, 58
1998-07-18, Music-loving Sawyer, [Lumière], 1898, 58
1998-07-18, Automobile Accident, Louis Lumière, 1904, 59
1998-07-18, The Lover in the Bag, Louis Lumière, 1898, 67
1998-07-18, View From a Whaling Boat, Gabriel Veyre, 1900, 67
1998-07-18, Snowball Fight, Louis Lumière, 1897, 71
1998-07-18, Oil Wells of Bakou: Close View, Louis Lumière, 1898, 68
1998-07-18, Launching of a Ship, Louis Lumière, 1896, 64
1998-07-18, Indochina: Panorama Taken from a Rickshaw, Gabriel Veyre, 1900, 74
1998-07-18, Serpentine Dance, Louis Lumière, 1898, 58
1998-07-18, The Joyous Skeleton, Louis Lumière, 1898, 68
1998-07-18, Billboard Posters, Alexandre Promio, 1897, 55
1998-07-18, Writing Backwards, Louis Lumière, 1896, 64
1998-07-18, The Kiss, William Heise, 1896, 68
1998-07-18, Annabelle Serpentine Dance, Dickson, William Heise, 1895, 49
1998-07-18, Sandow No. 1, W.K.L Dickson, 1894, 58
1998-07-18, Glenroy Brothers (Comic Boxing), Thomas Edison, 1894, 59
1998-07-18, The Cock Fight, W.K.L. Dickson, 1894, 57
1998-07-18, The Barbershop, W.K.L. Dickson, Heise, 1894, 59
1998-07-18, Feeding the Doves, James H. White, 1896, 48
1998-07-18, Seminary Girls, James H. White, 1897, 53
1998-07-18, Sea Bathing, Louis Lumière, 1897, 68
1998-07-18, Children Digging for Clams, Louis Lumière, 1896, 68
1998-07-18, Loading a Boiler, Louis Lumière, 1896, 58
1998-07-18, Dragoons Crossing the Saone, Louis Lumière, 1896, 67
1998-07-18, Prominade of Ostriches, Louis Lumière, 1896, 63
1998-07-18, Childish Quarrel, Louis Lumière, 1896, 61
1998-07-18, Lion London Zoological Garden, Louis Lumière, 1896, 55
1998-07-18, Photograph, Louis Lumière, 1895, 56
1998-07-18, Transformation by Hats, Louis Lumière, 1896, 62
1998-07-18, Carmaux: Drawing Out the Coke, Louis Lumière, 1896, 68
1998-07-18, Poultry Yard, Louis Lumière, 1896, 55
1998-07-18, Arab Procession, Alexandre Promio, 1896, 63
1998-07-18, New York: Brooklyn Bridge, Alexandre Promio, 1896, 66
1998-07-18, New York: Broadway at Union Square, Alexandre Promio, 1896, 66
1998-07-18, Chicago: Parade of Policemen, Alexandre Promio, 1896, 62
1998-07-18, A Trip to the Moon, Georges Méliès, 1902, 72
1998-07-18, McKinley at Home, Canton, OH, American Mutoscope, 1896, 45
1998-07-18, Burro Pack Train on the Chilcoot Pass, Thomas Crahan, 1901, 53
1998-07-18, Skyscrapers of New York City From the North River, J.B. Smith, 1903, 44
1998-07-18, The Georgetown Loop, G.W. Bitzer, 1901, 49
1998-07-18, Earthquake Ruins, New Majestic Theatre and City Hall, [Edison Manufacturing Company], 1906, 50
1998-07-18, The Dog and His Various Merits, [Pathé Frères], 1908, 46
