Tokyo Story,Yasijiro Ozu,1953,86,f
Eaux d'artifice,Kenneth Anger,1953,63,t
Mood Contrasts,Mary Ellen Bute & Ted Nemeth,1953,62,t
Espaldas mojadas,Alejandro Galindo,1953,51,f
Seven Samurai,Akira Kurosawa,1954,92,f
Johnny Guitar,Nicholas Ray,1954,91,f
La Strada,Frederico Fellini,1954,81,f
Les Maîtres fous,Jean Rouch,1954,73,t
On the Waterfront,Elia Kazan,1954,68,f
Inauguration of the Pleasure Dome,Kenneth Anger,1954,66,t
The Night of the Hunter,Charles Laughton,1955,94,f
Ordet,Carl Theodor Dreyer,1955,89,f
Night and Fog,Alain Resnais,1955,85,f
The Ladykillers,Alexander MacKendrick,1955,84,f
Reflections in Black,Stan Brakhage,1955,81,t
Pather Panchali,Satyajit Ray,1955,70,f
The Trouble With Harry,Alfred Hitchcock,1955,63,f
The Man With the Golden Arm,Otto Preminger,1955,62,f
Bride of the Monster,Edward D. Wood Jr.,1955,44,f
Lady and the Tramp,"Hamilton Luske, Clyde Geronimi, and Wilfred Jackson",1955,43,f
A Man Escaped,Robert Bresson,1956,93,f
Written on the Wind,Douglas Sirk,1956,91,f
The Killing,Stanley Kubrick,1956,71,f
The Man Who Knew Too Much,Alfred Hitchcock,1956,64,f
The Ten Commandments,Cecil B. DeMille,1956,38,f
Wild Strawberries,Ingmar Bergman,1957,88,f
Throne of Blood,Akira Kurosawa,1957,78,f
Saturday Afternoon Blood Sacrifice,Ken Jacobs,1957,52,t
Little Cobra Dance,Ken Jacobs,1957,51,t
A Legend for Fountains (Fragments),Joseph Cornell,1957,49,t
A Movie,Bruce Connor,1958,91,t
Le Beau Serge,Claude Chabrol,1958,70,f
Ashes and Diamonds,Andrzej Wajda,1958,66,f
Gigi,Vincente Minnelli,1958,60,f
Party Girl,Nicholas Ray,1958,59,f
Pickpocket,Robert Bresson,1959,93,f
Breathless,Jean-Luc Godard,1960,93,f
Hiroshima mon amour,Alain Resnais,1959,79,f
Les Cousins,Claude Chabrol,1959,78,f
Shadows,John Cassavetes,1959,70,f
Floating Weeds,Yasujiro Ozu,1959,69,f
Eyes Without a Face,Georges Franju,1959,68,f
